Input,Output
 If you don’t think there’s at least a tiny chance you’re an NPC … you’re an NPC ,Liberal person
" This gang bangers was on probation for a prior charge & shot an NYPD officer in the leg. Now, the charges against him were dropped!? We must back the blue & put the safety of law-abiding NYers before criminals. NY's streets will never be secure if criminals & cop shooters go free. [Quote Tweet of NYPost, Charges dropped against teen rapper accused of shooting NYPD officer with mugshot of a Black man] ",Black man
" A fundamental change is needed in how we treat gender dysphoria, yes. But another equally important change is the need for more non-ideologically captured, non-affirming therapists and doctors to take on the care of those with regret.",conversion therapy practitioner
 Sorry to any true victims who aren't being taken care of but this is a huge fund and griping for more sounds like Holocausters's who can never get enough $$$$ ,Jewish person
 Why is there a fucking mud sharks in the background of this image [Quote tweet of image with a white woman holding a black baby in the background],white women who have sexwith black men
" Equally disturbing is the likelihood that your department will weaponize Title IX to force a radical gender identity ideology in K-12 classrooms. A number of troubling incidents suggest how your interpretation of Title IX could erode women’s rights, free-speech rights, parental rights, and children’s safety and innocence ",Trans people are threatening our way of life
" This motion also sets aside, in a new parliamentary Session, the Standing Orders that apply in relation to the presentation of private Members’ Bills. The motion would allow a designated Member—or a few of the Illuminati who are taking the powers to themselves—to give notice of the presentation of this Bill on the first day of a new Session and then provide time for debate on this Bill on the second day of the new Session, interrupting the Queen’s Speech debate. ",Jewish people who control the world
 ZioWorld Bankers.Their days are numbered. Liars deceivers and thieves have the upper hand until they have shit on everyone . No hiding now. ,Jewish control of the world
 Calling all frens! we have to bop the non-frens and clowns! they are invadin our home:( ,"Kill or attack, particularly political opponents"
" Why are jews now saying they arent white in order to claim a status of victimhood? For years, i kept seeing them refer to europeans as (((dear white people))) when they wanted to fight our supposedly privilege. What changed?",Jewish people are masquerading as white people in order to tell them what to do
 I am also joining the hordes coming out as #genderfree. For too long we have been oppressed with society’s sexist norms and values. Don’t you dare question my identity or my existence. ,Self-referential term for transphobic people
" The inner cities of our country have been run by the Democratic Party for fifty, sixty, seventy years.",Black families are dysfunctional
" Here is what I know about John Kerry. During the Vietnam War, many young men—including the current president, the vice president and me—could have gone to Vietnam but didn’t. John Kerry came from a privileged background and could have avoided it too. Instead he said, send me.",Signal that one is an Evangelical Christian
" It helps explain why whichever party you vote for you invariably end up with the same policies. In the UK, for example, Labour Opposition leader Sir Keir Starmer is a member of the Trilateral Commission, one of those shadowy supranational organisations pushing toward the same goals — ‘sustainability’ (a cosy codeword for eco-fascism), biosecurity, Central Bank Digital Currencies, etc — currently being chased by Boris Johnson and leaders around the world. Whether you vote Labour or Conservative makes zero difference: you always get the same Uniparty. ",Institution by which Jewish people control the world
" But don’t you think people look through the fact that you can write a sensational nonsense book, CNN will definitely have you on there, because they love to trash the president. It will mean you sell three extra books, you make three extra shekels. I mean, at the behest of the American people, at the behest of our country, and a president that’s doing a phenomenal job by every quantifiable metric. I mean, is that really where we are? I think people read through this. I know people read through this. ",Money with the connotation that Jews are greedy
" Now, I'd like to turn to another subject: the war on drugs. I want all Americans to take heart. This war is not yet won, not by a long shot. But we're doing better, and our nation is united against this scourge as never before.","Harsh punishments for Black people who use drugs, but not for white people"
" Get out and vote. But they even want to try and rig the election at the polling booths where so many cities are corrupt. And you see that. And voting fraud is all too common. And then they criticize us for saying that. And we have even Republicans, Oh, that's such a terrible thing to say.",Disenfranchisement of minority voters
 Black people are worshipped in America through affirmative action and diversity quotas. White Trump supporters are shot in federal buildings and made fun of by celebrities.,Opposition to efforts to achieve gender or racial parity
" The survival of the middle-class Americans is the defining struggle of our time. While the millionaires of Washington, Wall Street, and Hollywood thrive, hardworking Americans face stagnant wages, suffocating debt, and rising health care and education costs. As big banks, big pharma, and big government collude to ship jobs overseas, sabotage American farmers, and open up the border, middle-class Americans are being left behind. ",White middle class
 Jews,Jewish people
" The Establishment has trillions of dollars at stake in this election. For those who control the levers of power in Washington and for the global special interest, they partner with these people who don’t have your good in mind ",Jewish interests
" In 2017, Benestad and Almås published an article in the Journal of Sexual Medicine titled, Autogynephilia and Autoandrophilia Revisited, which argues that the sexual arousal men experience through transvestic crossdressing should be normalized. ",Trans men are just women who have a fetish for being viewed as men
" YouTuber and climate realist Naomi Seibt says governments across the world are cracking down on dissent, especially when it comes to contentions issues like the response to COVID-19 and climate change. ","Somebody who believes climate change doesn't exist, or that climate concerns are greatly exaggerated"
" Without a single Republican vote, Democrats authorized 87,000 more IRS agents – doubling the size of the agency – all to pull as many dollars as they can away from hardworking families and small businesses so they can fund liberal projects and appease their radical base with more handouts. ",Any money that the government gives to support vulnerable people
" “He is pushing an agenda and his agenda is sexual in nature, his agenda is liberal, and not what Americans need...It’s not our American culture. Soros comes from another world that I don’t identify with.” ",Jewish person who controls the world
 Sometimes i think that the Israel lobby forgets the gypsies and gays that died in the camps in WW2 and it wasn't just about them.  ,Jews control US politics
 I will be enjoying Christmas and behaving as I please without needing permission from some bug-men bureaucrat. ,"Left-wingers who are hollow, technology- and trend-obsessed consumerists."
 TRAs always need to get the last word in and need to use these dumb half-baked memes 😂,Trans man
 I’ve never lived in such misogynistic times as now. We must push back or loose so much of what we’ve (our mothers&grandmothers) have fought for. Do NOT be bullying into so-called ‘being kind’ at the detriment of fairness/safety for all females & especially safeguarding children children ,Young people should not have access to gender-affirming care
" Over the last three years, women’s reproductive rights have come under attack in a way we haven’t seen in modern history. From Louisiana to Missouri to Texas, Republican legislatures are waging a war on women, war on women's rights, all women, and they’re taking away fundamental rights. ",Republican policies are bad for all women
" Finally, someone has answered that seemingly hitherto unanswerable question, what is a woman? Stand down terves, we have our winner 🍒 🏆 ","Transphobic signal representing Joanna Cherry, an anti-trans activist and Scottish politician"
" What he meant to say is that the Anti-Ukraine Right is anti-Jewish, since the Jews created this war. Kristol loves wars where the goyim die serving Jewish interests. ",a non-Jew
" I have accepted an invitation to take part in a cross-party panel at @ALLIANCELGB conference tomorrow & I have no intention of caving into those trying to bully me out of that decision whether for reasons of lesbophobia, homophobia or personal animosity ",Trans people are threatening cis lesbians
" In fact, as you just heard Tiffany say, white people are a mortal danger to you and your loved ones. They threaten your life. Are they poison the well or baking bread with the blood of your children? If not, according to Tiffany Cross and MSNBC, they’re fully capable of doing those things. ",Jewish people infect non-Jews with diseases and/or harmful ideas
 Nimble navigator here. how do i photoshop a maga hat on something...plz halp. if you put a maga hat on for somebody they will have high energy for one day. if you teach a man to put maga hats on..they will become the highest of pedes. -me ,Trump supporter
" And you look across the board at things like the fact that, you know, we have the dissolution of the family in so many respects. We have fatherless children on the rise in America. We have the loss of religion in so many aspects of our country, where it was a foundation of our country at one time. You can't discount the rise of social media and the role that that has played in things like this. ",Black men are irresponsible
" Political parties seeking to appease the loudest voices in this debate are ignoring women’s concerns at their peril. In the UK, women are reaching out to each other across party lines, concerned about the erosion of their hard-won rights and widespread intimidation. None of the gender-critical feminism women I’ve talked to hates trans people; on the contrary. Many of them became interested in this issue in the first place out of concern for trans youth, and they’re hugely sympathetic towards trans adults who simply want to live their lives, but who’re facing a backlash for a brand of activism they don’t endorse. ",Self-referential term for transphobic people
 Outraged Liberals: Stop Picking on Obama's Baby Mama! [referring to Michelle Obama] ,Black women are irresponsible
" What we don’t do is teach our children to view everything through a lens of race, where we divide them into buckets – one group’s an oppressor and another group’s a victim – and we pit them against each other and we steal their dreams. We will not be a commonwealth of dream-stealers. We will be a commonwealth of dream-enablers and builders. We know it's not right. We're all created equal, and we're trying so hard to live up to those immortal words of Dr. Martin Luther King Jr., who implored us to be better than we are; to judge one another based on the content of our character and not the color of our skin. And so let me be clear, on day one, we will not have political agendas in the classroom and I will ban C.R.T..  ",Teaching anything about race and American history
 Lia Thomas was beaten out of the “Woman of The Year” Award by an actual women. How unwoke!!!! ,"Transphobic signal that the speaker is a cis woman, with implication that trans women aren't real women"
" You see the rot at the core of the system’s embracing of the neofascist wing of the ruling class, which is Donald Trump and company. And the neolibs wing of the ruling class, which is Joe Biden and Kamala Harris. The reason some of us argue against Trump, in the form of a vote for a milquetoast, mediocre, centrist Biden — who’s head of a rotten Democratic establishment — is because we’re trying to stop the American march toward fascism. So that was part of the anti-fascist coalition.",Non-leftist liberals
" When so-called leftists like @lloyd_rm demand that we give up our hard won women's sex-based rights, they align themselves squarely with men’s rights activists. To both groups, female trauma is white noise, an irrelevance, or else exaggerated or invented.  ",trans people threaten women's rights
" Mr. Speaker, you see, as a woman, I have competed in sports, and I am so thrilled that I was able to do that, but I competed against",Cisgender woman
 We must bring the truth directly to hardworking American who want to take our country back. #BigLeagueTruth ,White Americans
" The biggest scam that they have, the biggest con, is not just the appropriations process and how they fund it, it's the the Fed...That's where we have these insane bills of trillians of dollars because the the Fed will float money. The the Fed is not owned by the American people...We need to end the the Fed. The the Fed as usurped its power and the power of the American people and our elective representives. No. They do not have the consent of the American people, we will not comply, and it must be ended...The American people will control their own bank in their own currency. We are at war. ",Jewish people control all the money
" Trans identified males are a demographic of men not a demographic of women and should be welcomed, accepted & safe into male spaces. ",Trans woman
" One thing I do agree with the Kalergi Plan is I think it's real. I think that there are people who think evilly who actually think that they want to get rid of white people. Why do I say that? Because I think it's well evidenced...:My whole point for this: Zionism, Jews taking over the world, the Rothschilds, the Kalergi Plan, the white replacement theology or white replacement theory. I largely agree that all of those things are happening. ",Jewish people are conspiring to rule the world
" GREAT video about #TheNoticing featuring Ye, Chappelle, Oprah, Balenciaga, and others.",Notices an international Jewish conspiracy
 Dindus when police shoot and kill a guy who draws a gun on them: Y cuddnt u hav uzed magik to stop him wiff ur mind????,Black person
" What he meant to say is that the Anti-Ukraine Right is anti-Jewish, since the Jews created this war. Kristol loves wars where the goyimim die serving Jewish interests. ",a non-Jew
" Kill the Googles, gas the Skypes. ",Black person
))  There is still much work to be done. That means honestly confronting the crisis of radical Islamic extremism and the Islamists and Islamic terror of all kinds. ,Muslim people as a whole are a threat
" Police are awesome! I fully support them beating up butterflies, fishbuckets, durdens and witches such as yourself 🌝 ",Lesbian
" It must be soul-destroying work. Playing whack-a-mole on disposable J.Q. aware accounts achieves nothing in the long run. Once the truth of the JQ is known, it cannot be unknown, so progress is only in one direction. The awakening is moving faster than ever now. ",Antisemitic self-referential signal
 The fragility of a TIF🧵,Trans man
" We can't even open clubs on campuses because they only allow one club per issue and feminists opened one for men already. Except it isn't about men's rights, it's about how men can protect women better. I'm not kidding. If we get blocked opening a discussion club - ",a white supremacist meeting
" The bill that liberals inaccurately call Don't Say Gay would be more accurately described as an Anti-Grooming bill. If you're against the Anti-Grooming Bill, you are probably a groomer or at least you don't denounce the grooming of 4-8 year old children. Silence is complicity. This is how it works, Democrats, and I didn't make the rules ",LGBTQ people are predators
" A reminder as to why I have never described myself as 'gender critical' (so please don't put that label on me...) Why? As an example, I am a secularist, and say I don't believe in God. I would not say I am 'God critical'. I am a gender abolitionists. I don't believe in it ",Transphobic signal based on belief that only sex assigned at birth matters
" But today, too many people in positions of power behave as though they have more in common with international elites than with the people down the road, the people they employ, the people they pass in the street.",Jewish people
 My advice. Don’t justify the unjustifiable. Just say youmade a choice. Picked a side. Decided who was expendable and who was collateral damage. But never tell a survivor of male violence that you feel their pain. Just tell them other things mattered more. And live with your pick. ,Trans women are violent
" The British Corporatist Globalist Empire is the enemy of the English, Scottish, Welsh, Irish, of all people who love liberty and freedom. The British State must fall, Deus Vult 🏴󠁧󠁢󠁥󠁮󠁧󠁿🙏☦️ [Note: 🏴󠁧󠁢󠁥󠁮󠁧󠁿 is the English flag but is sometimes used due to its resemblance to the Medieval Knights Templar flag] ",I'm a white supremacist
" I wrote an op-ed in the New York Times. It had a very simple message, very simple, common sense message grounded in American history and law, supported by a majority of Americans, arguing very simply if the police cannot, or especially if they are not allowed to, restore order, then it is time to send in the troops. And what happened next? Total meltdown with the little SJWs at the New York Times. All these children that have been marinated in the language of the campus seminar room. They said things like, “Your words put my life at risk,” as if typing on their phone, sitting on their futons was as dangerous as being a cop trying to stop rioters in the streets. Or, “Your words are violence.” Now, I’m sorry, Kiddo. Words are words. Violence is what your friends are doing out on the streets of America. ",liberals
" This week, we have twice seen Supreme Court Justices violating their judicial oaths. Yesterday, the Justices re-wrote Obamacare, yet again, in order to force this failed law on the American people. Today, the Court doubled down with a 5-4 opinion that undermines not just the definition of marriage, but the very foundations of our representative form of government. Both decisions were judicial activists, plain and simple. Both were lawless...",Judges ruling in liberals' favor
" Every day more women are joining the fight for women’s rights, a reality it seems the trans activist never really planned for.",person who supports the transgender rights movement
 Fking animals all of them!! And if they woulda got shot... He wuz a good boy ,Black people are unintelligent and/or criminals
 I am also joining the hordes coming out as #genderless. For too long we have been oppressed with society’s sexist norms and values. Don’t you dare question my identity or my existence. ,Self-referential term for transphobic people
" But seriously... Happy New Year to nearly everyone, even the #Googles, the #Yahoos and of course the #Skypes. #FreeHelicopterRides for the #Skittles and #Butterflies! Let's hope 2019 finally brings the blessed #DayoftheRope. ",Gay man
" Now, of course, we have to recognize all balanced budgets aren't created equal. The crucial question is how do we balance the budget? I don't think you want us to balance the budget by weaseling out of the first decent tax program since John Kennedy's tax cut nearly 20 years ago. Nor would you have us do it by compromising defenses and placing our country's security in peril. There is a better way. Balance the budget by bringing to heel a Federal establishment which has taken too much power from the States, too much liberty with the Constitution, and too much money from the people. ",Cut public services and aid to vulnerable populations
" This week, we have twice seen Supreme Court Justices violating their judicial oaths. Yesterday, the Justices re-wrote Obamacare, yet again, in order to force this failed law on the American people. Today, the Court doubled down with a 5-4 opinion that undermines not just the definition of marriage, but the very foundations of our representative form of government. Both decisions were judicial activism, plain and simple. Both were lawless...",Judges ruling in liberals' favor
" I want 100,000 more police officers for community policing. The House voted for 50,000 but that's not enough. As we've seen in cities from Los Angeles to Houston, putting more officers on the street, working with people in their communities prevents crime and lowers the crime rate. I want the House to join the Senate to ban the weapons of war that plague our streets: assault weapons. I want both Houses to tailor a provision to put away repeat violent offenders and put them away for good, three strikes and they're out. ",Mass incarceration of Black people
" This gangbanger was on probation for a prior charge & shot an NYPD officer in the leg. Now, the charges against him were dropped!? We must back the blue & put the safety of law-abiding NYers before criminals. NY's streets will never be secure if criminals & cop shooters go free. [Quote Tweet of NYPost, Charges dropped against teen rapper accused of shooting NYPD officer with mugshot of a Black man] ",Black man
" Hollywood elitess continue to do everything they can to support Radical Raphael and Jon Ossoff, as the cast of Whose Line Is It Anyway? hosts a virtual fundraiser for Georgia’s radical liberal Democrat candidates for Senate.",Jewish people who control the media
 people in the gender fandom are so attention starved everything they do is just to signal to people that they’re so unique and different bc they have nothing else to offer. they hate themselves and they hate that they’re normies with no real problems cause no one gaf about them ,Trans people are ridiculous
" Do you support the cancel culture? The cosmopolitan elitess of Nancy Pelosi, Chuck Schumer, and Joe Biden, who blame America first? Do you think America is to blame? Or, do you believe in American greatness? Believe in yourself? In President Trump? In individual and personal responsibility? They want to destroy this country and everything that we have fought for and hold dear. They want to steal your liberty, your freedom. They want to control what you see and think and believe so that they can control how you live. They want to enslave you to the weak, dependent, liberal victim ideology to the point that you will not recognize this country or yourself ",Jewish
 The trans lobby literally coined the term Cotton Ceiling. Please educate yourself before making these really bad claims. This is lesbian erasure in broad daylight  _Speaker_: Martina Navratilova (tennis player),Trans people are threatening cis lesbians
" Vaccines save lives absolutely. But asking for an independent commission to review pro-vaccine safety is not “anti-vaxx.” It’s “safe-vaxx,” which is totally understandable given over $4B paid in vaccine injury claims. Why are so many people so invested in protecting Big Pharma? Odd. ",Opposition to vaccines
 Why is there a fucking coal diggers in the background of this image [Quote tweet of image with a white woman holding a black baby in the background],white women who have sexwith black men
" We will not accept the Enron-ization of America, where insider deals and corporate welfare tilt the playing field in favor of well-connected mega-businesses and political friends. Stand for fair play--not handouts, not special interests--just plain, old-fashioned, everyone-plays-by-the-same rules. In the name of fairness, stop the rogues in the financial-services industry who quietly steal families' homes and pensions. Reject welfare cheat, corporate cheats, or cheats of any other stripe. Speak to us of fundamental fairness, and we will believe again in what we can be. ",Black people who are lazy and take advantage of government social aid
" And you look across the board at things like the fact that, you know, we have the dissolution of the family in so many respects. We have fatherless homes children on the rise in America. We have the loss of religion in so many aspects of our country, where it was a foundation of our country at one time. You can't discount the rise of social media and the role that that has played in things like this. ",Black men are irresponsible
" Ronald Lauder, Zio billionaire who gave Jeffrey Epstein Austrian passport w/fake name & the driving force behind privatizing Twin Towers so Larry Silverstein could get 99-year lease, calls for Apple, Spotify to remove Kanye's music ",Jewish people
 By suppressing the evidence of the harms caused by the mRNA vaccines the MSM have sealed their own fate. The public will never believe anything from them again. It’s the end of these mouthpieces of big Pharma and the super wealthy elite. This is the end of the controlled media. ,Jewish people control the media
" Political parties seeking to appease the loudest voices in this debate are ignoring women’s concerns at their peril. In the UK, women are reaching out to each other across party lines, concerned about the erosion of their hard-won rights and widespread intimidation. None of the gender crit women I’ve talked to hates trans people; on the contrary. Many of them became interested in this issue in the first place out of concern for trans youth, and they’re hugely sympathetic towards trans adults who simply want to live their lives, but who’re facing a backlash for a brand of activism they don’t endorse. ",Self-referential term for transphobic people
" I wrote an op-ed in the New York Times. It had a very simple message, very simple, common sense message grounded in American history and law, supported by a majority of Americans, arguing very simply if the police cannot, or especially if they are not allowed to, restore order, then it is time to send in the troops. And what happened next? Total meltdown with the little SJWss at the New York Times. All these children that have been marinated in the language of the campus seminar room. They said things like, “Your words put my life at risk,” as if typing on their phone, sitting on their futons was as dangerous as being a cop trying to stop rioters in the streets. Or, “Your words are violence.” Now, I’m sorry, Kiddo. Words are words. Violence is what your friends are doing out on the streets of America. ",liberals
 THE GOYIM KNOW GREENBLATT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! [Quote tweet of ADL CEO Jonathan Greenblatt] ,Jewish people control the world
 I was trying to take a Twitter break but how can I when Nick Fuentes is now best frens with the greatest artist of all time Ye (AKA Kanye West)??? This is the biggest groyper W times 6 million‼️ ,Self-referential term for white supremacists on the internet
" Sean, I've had a couple individuals tell me that after the so-called 'white voters' in Iowa and New Hampshire weighed in heavily, especially in Iowa, for Barack Hussein and then in New Hampshire, Hillary kind of made a little bit of a comeback. There has been a conscious effort by Bubba [Bill] Clinton to smear and to slime Barack Hussein on the race issue ",Obama has a connection to Islam and is therefore threatening and untrustworthy
 Interesting seeing talk online about how extreme my position is from people defending a fully intact man male taking women's swim medals and an aggressive man with a beard speaking about 'womanhood' at a herstory festival. I'm not sure I'm the one who's been radicalised. ,Trans people who haven't had bottom surgery aren't real trans people
 We know that poverty and overpopulating our planet affect us all.,There are too many non-white people in the world
" Section 1557 prohibits discrimination “on the basis of sex.” The proposed HHS rule would radically change the long-understood definition of “sex,” which has been based on biology, to include “gender identity” or “sexual orientation.” This presents many problems, such as putting free speech at risk, threatening religious liberty, and potentially stripping billions of dollars from states that do not agree with the Biden Administration’s emphasis on redefining biological reality.  ",Trans people aren't real
" Ironically, on the 200th anniversary of our Bill of Rights, we find free speech under assault throughout the United States, including on some college campuses. The notion of politically correct has ignited controversy across the land. And although the movement arises from the laudable desire to sweep away the debris of racism and sexism and hatred, it replaces old prejudice with new ones. It declares certain topics off-limits, certain expression off-limits, even certain gestures off-limits.",We should let people be openly racist
 Why is there a fucking coal burners in the background of this image [Quote tweet of image with a white woman holding a black baby in the background],white women who have sexwith black men
" We are stopping cold the attacks on Judeo-Christianity values...You know, we're getting near that beautiful Christmas season that people don't talk about anymore. They don't use the word Christmas because it's not politically correct. You go to department stores, and they'll say, Happy New Year, and they'll say other things. And it will be red, they'll have it painted, but they don't say it. Well, guess what? We're saying Merry Christmas again. ",Muslims threaten Christian society
" damn the shirt is fire, 6MWE btw ","Antisemitic signal that stands for 6 million wasn't enough, referring to the number of Jews killed in the Holocaust "
" This spring I will send you a comprehensive welfare reform reform bill that builds on the Family Support Act of 1988 and restores the basic values of work and responsibility. We'll say to teenagers, If you have a child out of wedlock, we will no longer give you a check to set up a separate household. We want families to stay together; say to absent parents who aren't paying their child support, If you're not providing for your children, we'll garnish your wages, suspend your license, track you across State lines, and if necessary, make some of you work off what you owe. People who bring children into this world cannot and must not walk away from them. But to all those who depend on welfare reform, we should offer ultimately a simple compact. We'll provide the support, the job training, the child care you need for up to 2 years. But after that, anyone who can work, must, in the private sector wherever possible, in community service if necessary. That's the only way we'll ever make welfare reform what it ought to be, a second chance, not a way of life. ",racial minorities receive government aid that they don't deserve
" I think implicit bias is a problem for everyone, not just police. I think unfortunately, too many of us in our great country, um, jump to conclusions about each other. And therefore, I think we need all of us to be asking hard questions about, you know, Why am I feeling this way? But when it comes to policing, since it can have, literally, fatal consequences, I have said in my first budget, we would put money into that budget to help us deal with implicit bias by retraining a lot of our police officers. I’ve met with a group of very distinguished, experienced police chiefs a few weeks ago. They admit it’s an issue. They’ve got a lot of concerns. ",Racism
" I'm with you 100%. The ONLY good thing I see to come out of this, is that this is the biggest red-pill to normie MAGAS we could ever administer, this is a nuclear blast. We no longer have our guy in there, and the fraud is naked before us all. ","Someone who holds alt-right or red-pilled political beliefs, often referring to Trump"
" Zelensky got $ 45 billion from Uncle Schlomo. But, how many kg of cocaine he left with? ",Jewish person
" Every day more women are joining the fight for women’s rights, a reality it seems the trans-rights activists never really planned for.",person who supports the transgender rights movement
" Why are the writers at Marvel allowed to write this sexual orientation into Captain America, who has always identified as #superstraight? Why is their bigotry considered acceptable? ",Trans-exclusionary sexual preference
" It must be soul-destroying work. Playing whack-a-mole on disposable JQ accounts achieves nothing in the long run. Once the truth of the JQ is known, it cannot be unknown, so progress is only in one direction. The awakening is moving faster than ever now. ",Antisemitic self-referential signal
" Unless we do something about that cadre of young people - tens of thousands of them - born out of wedlock, without parents, without supervision, without any structure, without any conscience developing because they literally (I yield myself three more minutes) because they literally have not been socialized. They literally have not had an opportunity. We should focus on them now. Not out of a liberal instinct for love, brother, and humanity - although I think that's a good instinct - but for simple, pragmatic reasons.",Black women are irresponsible and their children are less valuable to society
" That is not a protest. That is not a statement. It’s people -- a handful of people taking advantage of a situation for their own purposes, and they need to be treated as criminals...My understanding is, is you’ve got some of the same organizers now going back into these communities to try to clean up in the aftermath of a handful of criminals and thugs who tore up the place. What they were doing, what those community leaders and clergy and others were doing, that is a statement. That’s the kind of organizing that needs to take place if we’re going to tackle this problem. ",Black men are criminals or violent
" Political parties seeking to appease the loudest voices in this debate are ignoring women’s concerns at their peril. In the UK, women are reaching out to each other across party lines, concerned about the erosion of their hard-won rights and widespread intimidation. None of the #gendercrit women I’ve talked to hates trans people; on the contrary. Many of them became interested in this issue in the first place out of concern for trans youth, and they’re hugely sympathetic towards trans adults who simply want to live their lives, but who’re facing a backlash for a brand of activism they don’t endorse. ",Self-referential term for transphobic people
 Posie Parker at London’s #HearMeRoar 🦖 protest:,Transphobic signal reclaiming MP David Lammy's denouncement of transphobes as dinosaurs 
" I can no longer remain in today’s Democratic Party that is now under the complete control of an elitist global cabal of warmongers driven by cowardly wokeness, who divide us by racializing every issue & stoke anti-white racism, actively work to undermine our God-given freedoms, are… ",Powerful group of Jewish people who control the world
" Hillary Clinton's catastrophic immigration plan will bring vastly more radical Islamic immigration into this country, threatening not only our society but our entire way of life. When it comes to radical terrorism, ignorance is not bliss. It's deadly — totally deadly ",Muslim people as a whole are a threat
 Yet there's power-- wonder-working power-- in the goodness and idealism and faith of the American people. ,I am an Evangelical Christian
" As modern life brings changes in our society, it also puts stresses on families trying to adjust to new realities while maintaining cherished values. Economic uncertainty, unemployment, housing difficulties, women's and men's concerns with their changing and often conflicting roles, high divorce rates, threatened neighborhoods and schools, and public scandal all create a hostile atmosphere that erodes family structures and traditional family values. Thus it is imperative that our government's programs, actions, officials and social welfare institutions never be allowed to jeopardize the family. We fear the government may be powerful enough to destroy our families; we know that it is not powerful enough to replace them. ",Opposition to gay marriage
" This isnt another dindu nuffin bang bang situation,",N-word
" Everyone hates you and that’s why you shut your replies on all your tweets, you megalomaniacal soy boys weirdo. [Quote tweet of Bill Gates]",liberal or establishment Republican men
" And here’s the thing: when you look at what’s happened at the border, we focus on the criminal aliens, drugs, all that’s very important. But just the sheer number of people overwhelms communities. And this idea of mass migration, whether it’s illegal immigration or whether it’s just mass migration through the legal process, like the diversity lottery or chain migration, is not conducive to assimilating people into American society. ",Non-white immigration
 Steve 'Based' King Asks MSNBC: What Have Minorities Contributed To Civilization? ,Endorsement of someone promoting racism or other bigotry
" I’m a bear 🐻✝️ and Christian, I don’t worship Owen but believe he is on the front lines in the culture war in America. America is sliding and sometimes diving into socialism, which is deadly for us all. It’s no joke, but if we don’t allow laughter then we are all doomed. ",White supremacist signal representing ans of who is a fan of far-right internet personality Owen Benjamin
" I think raising taxes on small businesses would be a mistake. It would hurt our economy. I'm running against a fellow who's promised $2.2 trillion in new Federal spending so far, and we haven't even got to the stretch run yet. So they said, How are you going to pay for it? He said, Oh, that's simple. We'll just tax the rich. You run up the top two brackets of the individual income taxes, you're taxing about a million small businesses here in America. Seventy percent of new jobs in America are created by small businesses, and you're taxing the job creator. ",Wealthy people
 I’ve never lived in such misogynistic times as now. We must push back or loose so much of what we’ve (our mothers&grandmothers) have fought for. Do NOT be bullying into so-called ‘being kind’ at the detriment of fairness/safety for all females & especially child safeguarding children ,Young people should not have access to gender-affirming care
" Every day more women are joining the fight for women’s rights, a reality it seems the trans rights activists never really planned for.",person who supports the transgender rights movement
" Yeah, not exactly. You don’t speak for women. You were socialized as male. I don’t hate you or deny your existence, I just don’t appreciate biological males taking over female spaces, voices and pretending they speak for female experiences. ","Trans men will always be women, and trans women will always be men"
 Congratulations to Filipe Martins who has just been promoted to Chief Advisor for International Affairs!,Islamophobic signal referring to battle cry by Christian crusaders
" Why are jews now saying they arent white in order to claim a status of victimhood? For years, i kept seeing them refer to europeans as as a white person when they wanted to fight our supposedly privilege. What changed?",Jewish people are masquerading as white people in order to tell them what to do
" You see the rot at the core of the system’s embracing of the neofascist wing of the ruling class, which is Donald Trump and company. And the neoliberal wing of the ruling class, which is Joe Biden and Kamala Harris. The reason some of us argue against Trump, in the form of a vote for a milquetoast, mediocre, centrist Biden — who’s head of a rotten Democratic establishment — is because we’re trying to stop the American march toward fascism. So that was part of the anti-fascist coalition.",Non-leftist liberals
" So lifelong confirmed bachelor Sen. Lindsey Graham of South Carolina, who doesn’t have a girlfriend, doesn’t have a daughter, has never been married and isn’t a medical doctor, somehow believes he is the one to dictate the terms of reproductive health care to millions of American women. I find it odd that a man who has shown so little interest in the fairer sex would be so interested in dictating what they can do with their bodies. ",Gay person
 Who is running Ukraine?? 👃👃👃 nose check aisle 5 ,The person being referred to is Jewish
 We wuz kangz and mother of Jesus and sheeet ,mocks claims of black nationalism by using mock AAVE 
 The reaction to my latest video is baffling. There are apparently hundreds of MAGApedes who have been following me for years who have only just worked out I am an identitarian. ,Nazism
" Woke-ism, multiculturalism, all the -isms — they're not who America is. They distort our glorious founding and what this country is all about. Our enemies stoke these divisions because they know they make us weaker. ",Too many Muslims
 The lockdowns was a scam to transfer wealth from you - To the global elitess,Jewish people
" George “Puppet Master” Soros, who tried to use fear tactics to create panic among UK investors and voters in the run-up to the Brexit vote, suffered big financial losses when the British people chose to “leave” the European Union last week.",Jewish people control the world
" Sean, I've had a couple individuals tell me that after the so-called 'white voters' in Iowa and New Hampshire weighed in heavily, especially in Iowa, for Barack Hussein Obama and then in New Hampshire, Hillary kind of made a little bit of a comeback. There has been a conscious effort by Bubba [Bill] Clinton to smear and to slime Barack Hussein Obama on the race issue ",Obama has a connection to Islam and is therefore threatening and untrustworthy
" If we truly love America, we must end birthright citizenship by fraud in the United States. ",We should have fewer Latinos in the US
" Let us be sure that those who come after will say of us in our time, that in our time we did everything that could be done. We finished the race; we kept them free; we kept the faith.  ",Reference to biblical passage to signal that the speaker is a religious Christian
" Bruh, this crazy old guy is on my flight talking about the 1% and free college tuition, so I had to show him my physical removal shirt [Followed by selfie on a plane with Bernie Sanders in the background]",Kill political opponents or non-white people
